# config/vendor_names.txt -- retail vendor function addresses to Sony SDK names.
#
# Generated by tools/gen_vendor_names.py. Contains ONLY address/name facts:
# no disassembly, no instruction bytes, no decomp source paths. This is the
# one exception tools/check_no_rom.sh allows in the ROM-derived data gate.
#
# Provenance: names are the Aug-6-2001 prototype build's linker-map symbols
# (baserom/aug6/symbols_from_map.txt in the decomp checkout), carried over to
# the retail build wherever the two builds' compiled SDK object code is
# identical after masking relocation-carried immediate fields (same
# technique as decomp/retail_port/correlate.py). source=aug6:elf-hash means
# this script's own byte correlation against both base ELFs;
# source=aug6:hits.json means the match came from correlate.py's cached hit
# list instead (used only where the direct hash correlation was ambiguous or
# empty); source=aug6:shape-fuzzy means neither exact method resolved it and
# the two builds' compiled code differs slightly (this SDK block is not
# always byte-identical between the two links), so the match instead comes
# from an opcode-shape diff (registers/immediates erased) against every
# aug6 function of matching size, accepted only at a near_miss_scan.py-grade
# identical/trivial verdict with an unambiguous winner; source=decomp:
# symbol_addrs means the retail decomp already named the function directly.
#
# Regenerate: python3 tools/gen_vendor_names.py

0x00100008 _start  // decomp:symbol_addrs
0x00100650 RFU083_iSetEventFlag  // aug6:elf-hash
0x00100660 RFU084_ClearEventFlag  // aug6:elf-hash
0x001006C0 RFU090_iReferEventFlagStatus  // aug6:elf-hash
0x001006E0 EnableIntcHandler  // aug6:elf-hash
0x001006F0 iEnableIntcHandler  // aug6:elf-hash
0x00100700 DisableIntcHandler  // aug6:elf-hash
0x00100710 iDisableIntcHandler  // aug6:elf-hash
0x00100720 EnableDmacHandler  // aug6:elf-hash
0x00100730 iEnableDmacHandler  // aug6:elf-hash
0x00100740 DisableDmacHandler  // aug6:elf-hash
0x00100750 iDisableDmacHandler  // aug6:elf-hash
0x00100760 KSeg0  // aug6:elf-hash
0x00100770 EnableCache  // aug6:elf-hash
0x00100780 DisableCache  // aug6:elf-hash
0x00100790 GetCop0  // aug6:elf-hash
0x001007A0 FlushCache  // aug6:elf-hash
0x001007B0 CpuConfig  // aug6:elf-hash
0x001007C0 iGetCop0  // aug6:elf-hash
0x001007D0 iFlushCache  // aug6:elf-hash
0x001007E0 iCpuConfig  // aug6:elf-hash
0x001007F0 sceSifStopDma  // aug6:elf-hash
0x00100800 SetCPUTimerHandler  // aug6:elf-hash
0x00100810 SetCPUTimer  // aug6:elf-hash
0x00100820 SetOsdConfigParam2  // aug6:elf-hash
0x00100830 GetOsdConfigParam2  // aug6:elf-hash
0x00100840 GsGetIMR  // aug6:elf-hash
0x00100850 iGsGetIMR  // aug6:elf-hash
0x00100860 GsPutIMR  // aug6:elf-hash
0x00100870 iGsPutIMR  // aug6:elf-hash
0x00100880 SetPgifHandler  // aug6:elf-hash
0x00100890 SetVSyncFlag  // aug6:elf-hash
0x001008B0 _print  // aug6:elf-hash
0x001008C0 sceSifDmaStat  // aug6:elf-hash
0x001008D0 isceSifDmaStat  // aug6:elf-hash
0x001008E0 sceSifSetDma  // aug6:elf-hash
0x001008F0 isceSifSetDma  // aug6:elf-hash
0x00100900 sceSifSetDChain  // aug6:elf-hash
0x00100910 isceSifSetDChain  // aug6:elf-hash
0x00100920 sceSifSetReg  // aug6:elf-hash
0x00100930 sceSifGetReg  // aug6:elf-hash
0x00100940 ExecOSD  // aug6:elf-hash
0x00100950 Deci2Call  // aug6:elf-hash
0x00100960 PSMode  // aug6:elf-hash
0x00100970 MachineType  // aug6:elf-hash
0x001009E0 _InitSys  // aug6:elf-hash
0x00100F18 iWakeupThread  // aug6:elf-hash
0x00100FB0 iRotateThreadReadyQueue  // aug6:elf-hash
0x001013E0 _printf  // aug6:elf-hash
0x001019A8 kprintf  // aug6:elf-hash
0x001019E0 scePrintf  // aug6:elf-hash
0x00101A40 DIntr  // aug6:elf-hash
0x00101A88 EIntr  // aug6:elf-hash
0x00101AA0 sceDeci2Open  // aug6:elf-hash
0x00101AE8 sceDeci2Close  // aug6:elf-hash
0x00101B10 sceDeci2ReqSend  // aug6:elf-hash
0x00101B40 sceDeci2Poll  // aug6:elf-hash
0x00101B68 sceDeci2ExRecv  // aug6:elf-hash
0x00101BA0 sceDeci2ExSend  // aug6:elf-hash
0x00101BD8 sceDeci2ExReqSend  // aug6:elf-hash
0x00101C08 sceDeci2ExLock  // aug6:elf-hash
0x00101C30 sceDeci2ExUnLock  // aug6:elf-hash
0x00101C58 kputs  // aug6:elf-hash
0x00243B00 sceVif1PkAddGsData  // aug6:hits.json
0x002443F8 sceSifInitCmd  // aug6:hits.json
0x0024BB58 sceCdRead  // aug6:hits.json
0x0024D9B8 sceMcInit  // aug6:hits.json
0x0025C570 SgStAdpcmChannelVolume  // aug6:hits.json
0x0025CD10 acosf  // aug6:hits.json

# ---- unresolved vendor addresses (counts only, no guesses) ----
# total vendor functions: 949
# named: 149
# ambiguous (hash collision, no confident single match): 102
# unmatched (no aug6 correlation found): 698
